 0 0 12 2 0 37
aolserver4-nsopenssl 0 8 9 2 2 2
aolserver4-nspostgres 0 5 13 1 1 0
aolserver4-nssha1 0 8 9 1 0 0
aolserver4-nssqlite3 0 8 9 1 0 0
aolserver4-nsxml 0 8 11 3 0 0
ap-utils 6 4 80 3 5 0
apache-curator 0 4 1 7 0 1
apache-directory-api 1 1 1 2 0 0
apache-directory-jdbm 0 0 2 2 0 0
apache-directory-server 1 2 2 5 0 1
apache-log4j-extras1.2 0 1 3 3 0 0
apache-log4j1.2 0 2 2 4 0 0
apache-log4j2 0 1 1 2 0 0
apache-mime4j 0 1 2 1 0 0
apache-mod-auth-ntlm-winbind 0 1 4 3 0 0
apache-pom 2 0 3 2 0 0
apache-upload-progress-module 0 2 9 4 0 0
apache2 1 3 76 12 1472 72
apache2-mod-xforward 1 1 4 2 0 0
apachedex 0 5 3 2 1 0
apachetop 0 1 1 1 0 0
apbs 1 2 11 2 1 0
apcalc 0 2 14 9 1 1
apcupsd 2 0 13 2 8 12
apel 0 1 2 1 0 0
apertium 2 82 79 1 36 0
apertium-af-nl 0 1 2 1 0 0
apertium-apy 0 0 1 1 0 0
apertium-arg 0 0 3 1 0 0
apertium-arg-cat 0 0 2 2 0 0
apertium-br-fr 0 0 1 1 0 0
apertium-ca-it 0 1 2 1 0 0
apertium-cat 0 0 2 2 0 0
apertium-cy-en 0 0 2 1 0 0
apertium-dan 0 0 2 2 0 0
apertium-dan-nor 0 0 2 1 0 0
apertium-en-ca 0 0 2 1 0 0
apertium-en-es 0 0 2 1 0 0
apertium-en-gl 0 1 2 1 0 0
apertium-eo-ca 0 0 2 1 0 0
apertium-eo-en 0 0 1 1 0 0
apertium-eo-es 0 0 2 1 0 0
apertium-eo-fr 0 0 2 2 0 0
apertium-es-ast 0 0 2 1 0 0
apertium-es-ca 0 0 2 1 0 0
apertium-es-gl 0 0 2 1 0 0
apertium-es-it 0 1 3 0 0 0
apertium-es-pt 0 0 2 1 0 0
apertium-es-ro 0 0 2 1 0 0
apertium-eu-en 0 0 2 1 0 0
apertium-eu-es 0 0 2 1 0 0
apertium-fr-es 0 0 2 1 0 0
apertium-fra 0 0 2 2 0 0
apertium-fra-cat 0 1 2 3 0 0
apertium-hbs 0 0 3 1 0 0
apertium-hbs-eng 0 0 3 1 0 0
apertium-hbs-mkd 0 0 3 0 0 0
apertium-hbs-slv 0 0 2 1 0 0
apertium-hin 0 2 3 1 0 0
apertium-id-ms 0 0 2 2 0 0
apertium-is-sv 0 0 2 2 0 0
apertium-isl 0 0 3 1 0 0
apertium-isl-eng 0 1 2 1 0 0
apertium-ita 0 1 3 1 0 0
apertium-kaz 0 2 3 1 0 0
apertium-kaz-tat 0 0 2 2 0 0
apertium-lex-tools 0 6 11 3 3 0
apertium-mk-bg 0 1 2 1 0 0
apertium-mk-en 0 0 2 1 0 0
apertium-mlt-ara 0 0 2 2 0 0
apertium-nno 0 0 2 1 0 0
apertium-nno-nob 0 0 2 1 0 0
apertium-nob 0 0 2 1 0 0
apertium-oc-ca 0 0 2 1 0 0
apertium-oc-es 0 0 2 1 0 0
apertium-pt-ca 0 0 2 1 0 0
apertium-pt-gl 0 0 2 1 0 0
apertium-sme-nob 0 0 2 2 0 0
apertium-spa 0 0 3 1 0 0
apertium-spa-arg 0 0 2 1 0 0
apertium-spa-cat 0 0 2 1 0 0
apertium-spa-ita 0 2 3 0 0 0
apertium-srd 0 0 3 1 0 0
apertium-srd-ita 0 0 2 2 0 0
apertium-swe 0 0 2 2 0 0
apertium-swe-dan 0 0 2 1 0 0
apertium-swe-nor 0 0 2 2 0 0
apertium-tat 0 2 3 0 0 0
apertium-urd 0 2 3 1 0 0
apertium-urd-hin 0 0 3 1 0 0
apf-firewall 0 2 5 3 0 0
apg 0 0 22 1 2 0
apgdiff 0 2 3 2 0 2
api-hour 0 0 1 1 2 0
api-sanity-checker 4 0 4 1 2 0
apipkg 0 1 0 1 0 0
apitrace 0 2 50 7 6 8
apiwrap-el 0 0 0 2 0 0
apktool 0 1 1 2 0 2
aplpy 0 0 0 50 0 0
aplus-fsf 0 10 53 4 17 0
apmd 0 3 37 1 4 0
apng2gif 0 0 1 1 1 0
apngasm 0 0 1 1 1 0
apngdis 0 0 1 1 1 0
apngopt 0 0 1 1 1 0
apoo 0 0 4 5 0 0
apophenia 0 0 1 0 2 1
apparix 1 5 8 6 1 0
apparmor 0 0 0 0 7 33
apparmor-profiles-extra 0 0 1 0 0 0
appconfig 0 0 5 6 0 0
appdirs 0 0 0 1 0 0
apper 1 0 21 4 0 0
appindicator3-sharp 0 1 4 5 0 0
appmenu-qt 0 2 8 1 0 0
apport 1 20 8 17 1 0
apprecommender 0 0 0 2 0 0
approx 0 0 12 4 0 0
appstream 0 1 14 15 13 0
